name;code;active;region_id;created_at;updated_at
Abriaquí;05004;1;1;2021-04-02;2021-04-02
Acacías;50006;1;16;2021-04-02;2021-04-02
Acandí;27006;1;12;2021-04-02;2021-04-02
Acevedo;41006;1;13;2021-04-02;2021-04-02
Achí;13006;1;4;2021-04-02;2021-04-02
Agrado;41013;1;13;2021-04-02;2021-04-02
Agua de Dios;25001;1;11;2021-04-02;2021-04-02
Aguachica;20011;1;9;2021-04-02;2021-04-02
Aguada;68013;1;21;2021-04-02;2021-04-02
Aguadas;17013;1;6;2021-04-02;2021-04-02
Aguazul;85010;1;26;2021-04-02;2021-04-02
Agustín Codazzi;20013;1;9;2021-04-02;2021-04-02
Aipe;41016;1;13;2021-04-02;2021-04-02
Albania;18029;1;7;2021-04-02;2021-04-02
Albania;44035;1;14;2021-04-02;2021-04-02
Albania;68020;1;21;2021-04-02;2021-04-02
Albán;25019;1;11;2021-04-02;2021-04-02
Albán (San José);52019;1;17;2021-04-02;2021-04-02
Alcalá;76020;1;24;2021-04-02;2021-04-02
Alejandria;52022;1;1;2021-04-02;2021-04-02
Algarrobo;47030;1;15;2021-04-02;2021-04-02
Algeciras;41020;1;13;2021-04-02;2021-04-02
Almaguer;19022;1;8;2021-04-02;2021-04-02
Almeida;15022;1;5;2021-04-02;2021-04-02
Alpujarra;73024;1;23;2021-04-02;2021-04-02
Altamira;41026;1;13;2021-04-02;2021-04-02
Alto Baudó (Pie de Pato);27025;1;12;2021-04-02;2021-04-02
Altos del Rosario;13030;1;4;2021-04-02;2021-04-02
Alvarado;73026;1;23;2021-04-02;2021-04-02
Amagá;05030;1;1;2021-04-02;2021-04-02
Amalfi;05031;1;1;2021-04-02;2021-04-02
Ambalema;73030;1;23;2021-04-02;2021-04-02
Anapoima;25035;1;11;2021-04-02;2021-04-02
Ancuya;52036;1;17;2021-04-02;2021-04-02
Andalucía;76036;1;24;2021-04-02;2021-04-02
Andes;05034;1;1;2021-04-02;2021-04-02
Angelópolis;05036;1;1;2021-04-02;2021-04-02
Angostura;05038;1;1;2021-04-02;2021-04-02
Anolaima;25040;1;11;2021-04-02;2021-04-02
Anorí;05040;1;1;2021-04-02;2021-04-02
